review_datetime,review,rating,data_source,app_name
2024-04-21 22:07:40,"I have 2 delivery apps. I’ve been using Grubhub more recently until now. I rarely have an issue. And customer service was fair. Ordered from Jack In The Box. Received alert my order is on the way. No other deliveries delays. My driver stopped mid way. I texted them if everything was okay. No response. I clicked on request about delivery delay. My order arrived just before being considered late. Noticed my drink did not have seal. All other bags had seals. So I requested “help” again. The drink was the only issue. Customer support said I had an unusually high request for refunds, discounts, and requests and can only give me a $5 credit. Great. But the “unusually high requests, refunds” comment was not justified. I sent request to delete my account. I canceled Grubhub + membership. 

Next time, just lead with $5 credit. And end it there. Now you have one less customer and revenue.",1,App Store,GrubHub
2024-04-22 01:52:51,"The worst experience today with customer support. There is some kind of UI glitch in grubhub app system. I ordered two items and it lets you add an item “BUT” instead of adding one item it repeats everything with addon as a whole new order. I ordered and it gave me confirmation on the app for the order being prepared and delivered. But coming back home I see two separate orders and charged my account twice- first order with 2items and second order with same 2 items and addon item repeated. Customer support dint even help me with refund or care to create a “ticket” raising glitch concerns. If the glitch is with grubhub and restaurant delivers you wont get refund. Complete ridiculous instance with no help and refund being an elite member. When I have the confirmation on the app why will I go and check my email back and forth, that is ridiculous. What is the use of an App if I had to check my emails for confirmation of orders. What is the use of even having membership with having no help. What will I do with your apology?Grubhub #badcustomerservice #nocustomerservice #dontorder #uiglitch",1,App Store,GrubHub
2024-04-22 14:25:54,"I preorder in advance and later I received a call telling me they do not have idli, so I asked if they could do anything about it. They said they could not update the order and instead told me to cancel and reorder again. I told them that if I cancelled I would not reorder again, so if they could change it to something else I would be ok as long as the price was close, the employee was not helpful but in the end the proposal was accepted.

 This feature should be in the restaurant and other providers app so that they can cancel the product that is not on their menu and update the order price accordingly. This ruins preorder since later you can get an out of stock call and now you’re plans are changed, which happens but with an app and such a big infrastructure supporting it behind, an easy product update for the order with a click saves time and money to everyone involved. The restaurant does not loose the order, the user does not loose their time and grub gets another user engaged.

I know there are more steps involved than just allowing restaurants to change the orders but there must be a way.",2,App Store,GrubHub
2024-04-27 02:20:37,"I’ve never written a review of an app before, but unfortunately, my experience with GrubHub has pushed me to.

I placed an order for food for a party with a local restaurant. While the wait time was more than an hour, that was no problem since we knew the place is popular and we had some snacks to tide us over.

The real problem came when, as the expected time for the delivery came and went, no order showed up. Checking my phone, after finding and reviewing my order history, I saw that the order had been canceled because of a driver issue. That wouldn’t have been a huge issue in general, but by the time I saw the cancelation, the restaurant was closed, and we had to start the whole process over again with another local spot.

If the app had just made it clear that the order had been canceled on their end that would have been fine, but the fact that I had to dig in the order history and that there was no indication that we shouldn’t be expecting our order to arrive is a huge UI issue that completely undermines the whole point of the app—convenience and predictability.

Very disappointed.",1,App Store,GrubHub
2024-04-27 22:53:24,"I never thought to use Grubhub until I got a promotion from one of my credit cards for Grubhub+. This was around 2 years ago and it worked fine. Fast forward a few years and I get a similar promotion. Now, I've used Grubhub around five times in the past few months and NONE of the orders have been on time. Additionally, two of these orders never made it to me. I would watch my driver drive in circles in random parking lots, delaying my order by 15 minutes many many times before bringing it to support where they reluctantly cancelled my order and refunded initial payments. 

Long story short, Grubhub drivers are corrupt and slow and that always falls back on the customer. Would not recommend Grubhub to anyone. Please do not waste your money on this delivery option",1,App Store,GrubHub
2024-05-01 09:42:22,"I ordered a meal that came to over $40 after fees, taxes, and tips. I tried to contact my courier with the phone numbers provided by grubhub for neither to work. I tried calling  and texting to get sent to voicemail. I have reached out via twitter, Grubhub app, and by phone and have been getting the same automated message saying I’ve gotten too many refunds despite the fact that they just flat out took my food to the wrong place. I don’t make much money so naturally, I want a refund when I didn’t receive something I paid $40 for. $40 is nothing to a multimillion dollar company like them and they’d still rather argue me down and give me a fake apology for “the inconvenience” rather than giving me my money back and trying to keep a customer. I don’t feel safe spending with them again because now I know they can just keep your money when they don’t follow through just because they feel like it",1,App Store,GrubHub
2024-05-03 15:03:25,"Total disaster of a company. I made an order and they duplicated it, charging me twice. I reached to their customer “care” team so it could be cancelled and they said it would be a store credit… no thank you; this wasn’t my error you can refund my card. They transfer me. It fails. This happens three more times before finally a successful transfer happens. In the meantime the unwanted and unauthorized food gets delivered. They now say they can’t refund it because it has been delivered, and offer a store credit of less than the amount they charged me. Every single part of this was due to multiple errors on GrubHub’s part, but they could not have cared less about actually fixing the problem. 

App removed, data deletion request submitted, chargeback submitted to my bank, warning made here. Save your sanity and done waste your time or your money supporting a company that clearly has no interest in owning up to their own mistakes.",1,App Store,GrubHub
2024-05-03 22:59:39,"Grubhub is so horrendous that in the future I will be using anything but it. I will also recommend my friends, family, and every person on this platform to avoid it. After a long day and exhausting couple of weeks, I decided to use a gift card and order a Grubhub sandwich. Despite having my address set, location on, and having ordered from this restaurant numerous times, for some reason Grubhub sent the order to the wrong restaurant that was over thirty minutes away. This restaurant was on the upper east side and would require me to take a bus AND a subway to get to. When I asked for my money back or to transfer the order, I was told that was impossible. This has happened before. And I’m not sure if their customer service has tanked, but I was kindly given a refund and apology. This time I got what seemed like an AI generated response and someone who cut me off and ended the chat early without answering my last question. It is alarming that Grubhub has not fixed its app nor does it care about its loyal customers. I will be looking to other ordering platforms or ordering from restaurants directly and cutting Grubhub out. I suggest others do the same until Grubhub is willing to put people over profits!!!!",2,App Store,GrubHub
2024-05-10 19:59:17,"I don’t ever ever ever write reviews on anything cause I simply.. just don’t care, but this particular time as I am pretty furious I would just like to drop something here. No im not a older “Karen white lady” writing this even tho im about to sound like one, as a Generation Z as you will.. 
with the way prices all over the country are just soaring you might as well get delivery cause its cheaper than shopping now, that was my plan for this afternoon after working from 3am-1pm cause I’m tired and didn’t want to cook. EVEN PAYING a GOOD and FAIR TIP especially when the location in which the food was coming from was really close, the driver HAULED to my apartment door with a loud temper making it well known he’s in a bad mood and proceeds to drop my food off. I go grab my food from the door , open the bag .. and BAAAADAAA this dude really SMASHED I mean SMASHED my food in and tampered with the seal. Just that one incident and I’m never using this app again, just that incident and I don’t trust your food handlers. I’ll stick to doordash. Do better .",1,App Store,GrubHub
2024-05-12 13:06:43,"Despite providing delivery instructions in multiple languages in the app and texting these same directions to each driver, there was a 50/50 chance that my food would be delivered to the wrong address or not according to specifications. When customer service was notified that my order was not received, I was asked to I checked outside of the building for my order. This request is irresponsible and unsanitary since most of my delivery requests are to a very public building and the directions are to deliver to the main office. So, why would I look for my food outside let along risk my health and safety by eating food that could have been tampered with since it was left outside in an unsecured space? The customer service is horrible! In my opinion, I deserve a refund every time your driver does not follow directions. I even had the subscription with this service, however I have now canceled my subscription and will be deleting this app. Hopefully DoorDash is better.",1,App Store,GrubHub
2024-05-15 23:23:44,"First, I’ll start off with my annoyance that I deactivated push notifications for advertisements and I just got one about buying gift cards for graduates. my phone is not an ad vehicle delivery system. The preferences should be respected, because what’s the point of upsetting your customers?

Second, there’s some restaurants that I never wanna order from again, in New York City there are so many that are constantly changing. But it’s hard to check my own rating history of a place dishes that I liked or didn’t like. And hard to save and highlight dishes that I love. So when family and friends come to visit, and I want to suggest ordering in instead of going to a restaurant, it’s hard for me to remember what might fit with their food preferences and the restaurants I know in love.",4,App Store,GrubHub
2024-05-26 23:34:50,"I’ve always used DoorDash. I used Grubhub for the first time three days ago and the driver threw my order on the front porch right in front of me and then started cursing about having to deliver an order 20 miles away right in front of me as he stormed away. My second order was for 3 people. $85 for two orders of nachos and a burrito (including delivery fees and tip). It took an hour (which was expected) and they forgot both orders of nachos. So 2 of the 3 people were starving. Then they refunded me $30 (the price of the two nacho orders). So with fees I ended up paying $50 for 1 burrito. I then had to call Grubhub to complain and they reluctantly refunded me the delivery fees and tip, after the chat function didn’t help at all. Worst food delivery experience I have ever had…by far. DO NOT USE",1,App Store,GrubHub
2024-05-29 08:09:28,"The absolute worst service by far. Sometimes they get better for a time and then come back with zero people skills when there is a problem with a delivery. I’ve gone back and forth using this app and I should have never looked back the first time I deleted the app when I ran into terrible service. This last time, the representative didn’t give me a chance to respond and somehow I managed to get the same rep when I reinitiated the chat which didn’t make a lick of difference because they don’t care to try to fix the issue. Most the drivers they employ are often heading to multiple random locations while their en-route to deliver your food.

They might have gotten better about this recently, but they’d issue refunds on items that were never delivered (often drink items like a soda or coffee or whatever) that were less the price you paid for and doesn’t account for taxes, service fee, etc. I’m surprised they’ve upped their rating on the App Store because they had gotten abysmal and appear to remain a poor service. Just don’t use it, you’ll thank yourself later.",1,App Store,GrubHub
2024-06-03 16:12:38,"For years I have almost exclusively used Grubhub for delivery and I get 3-5 deliveries a week. I love Grubhub for their restaurant selection and how easy it is to use.  

I live in Philadelphia and over the past year (especially in the past 2 months) I’ve had multiple deliveries cancelled. Many of the drivers do not know how to navigate the city and get lost in very easily accessible drop off locations. They rarely contact for assistance in trying to me. It’s become extremely frustrating. I will be using other apps to see if I can actually get my meal after waiting 45 minutes then being told it’s cancelled as I watch my food drive right by.",3,App Store,GrubHub
2024-06-07 13:59:45,"To whom it may concern, before the updates when I placed pickup orders at restaurants, the app would show my name (Nicole B) in bold print so it is easy for the staff to find my order and hand it to me (even to the point that I had an option to click that I received my order) but this app doesn’t do that. Last night I picked up my order at Il Mondo and I showed them my receipt via grubhub but they wanted to see my name and the evening person in charge was putting up a challenge but I managed to get my order. Please do better. DoorDash does a better job when it comes to pickup orders so there isn’t an issue between a customer and restaurant staff.",3,App Store,GrubHub
2024-06-09 13:35:31,"Been using this app for a couple of years, had a handful of orders canceled most of which were last minute.

Most recently I ordered breakfast to my place while in an Uber home. No traffic, road closures, etc and got back to my house easily and unhindered. Driver was 1-2 min from my house, with my food in their car, and canceled because there “was no route available,” even though my Uber had dropped me off moments before the call. The driver did not even try to get to my place, but I’m sure they got to enjoy the food my family and I didn’t receive. Thanks for the full refund but I’d rather have my food, or at least more notice than one minute before the expected delivery. 

Deleted the app and sticking with DoorDash or Uber eats.",1,App Store,GrubHub
2024-06-13 05:36:09,"My food has been delivered to the wrong house on multiple occasions! Because of this, I started adding very detailed instructions in the driver notes telling them how to get to the right house, even providing a description of my house. Still, my food was delivered to the wrong house! The driver even posted a picture of the wrong house in the chat, yet GrubHub refuses to process a refund because of the other times their drivers failed to deliver my food to my house!! I have been willing to provide pictures of my house and everything to get this corrected every time it happens. I paid for my meal to be delivered, but I never received it. The driver even got a tip for NOT delivering my food to my home. Failure to refund the money I paid for a service they did not complete amounts to theft. After years of being a grub hub customer, I canceled my GrubHub subscription and subscribed to Door Dash. Somehow their drivers manage to find my house unlike my most recent experiences with Grub Hub drivers.",1,App Store,GrubHub
2024-06-13 16:00:17,"My food usually arrives fine with little to no issues, however, the delivery times are RIDICULOUS compared to other delivery services. They’ll give you an initial estimate on delivery time, which’ll be about 40-50 minutes, but because they dispatch the order to drivers that are SOO far away from the restaurant, the delivery time almost always extends by at least 30-40 MORE minutes. Even if I get delivery in the same town, it takes a long time because they almost always send drivers from the next cities/counties over. While they do have a “Help” section for late deliveries, I don’t use it, because they take the ENTIRE tip from the drivers who have already done their jobs, to send out refunds. | The GPS/tracker also has moments where the driver seems to just sit in one spot for a prolonged period of time. I don’t know what that’s about, but it happens quite often.",3,App Store,GrubHub
2024-06-14 01:33:18,"I placed an order using the wrong card and tried to cancel the order. The app wouldn’t let me do it myself and so I called the restaurant and they weren’t able to cancel it either and suggested I try to call grubhub support. The restaurant said they wouldn’t make the food bc I told them I wanted to cancel and would wait for me to let them know. Grubhub doesn’t even have a number to call and when I used the chat to speak with an agent they said they couldn’t cancel the order because the merchant was already making the food. When I told them that the restaurant isn’t because I told them I wanted to cancel the order, they offered a discount on a next order that went from $5 to $10 within 3 minutes. 

What kind of business doesn’t allow people to cancel their orders, I tried to cancel within 5 minutes of placing the order because I realized it was the wrong card. A terrible experience and service I won’t be using again.",1,App Store,GrubHub
