review,review_datetime,upvote_count,app_rating,data_source,app_name
terrific service!,2025-04-19 20:08:30,0,5,Google Play,GrubHub
prices are totally outrageous!,2025-04-19 18:58:59,0,3,Google Play,GrubHub
GREAT SERVICE!,2025-04-19 18:57:30,0,5,Google Play,GrubHub
"Generally great. But sometimes they give you a promo code in the app, with the offer right on the restaurant pic, and then at checkout it is EXPIRED, but by then you're hungry for what you picked out! So I dock them from 5 to 3 stars.",2025-04-19 18:34:22,0,3,Google Play,GrubHub
it's been a wonderful experience using Grubhub,2025-04-19 18:16:53,0,4,Google Play,GrubHub
Always early drivers!,2025-04-19 17:38:55,0,4,Google Play,GrubHub
👍,2025-04-19 16:38:34,0,5,Google Play,GrubHub
good food fast,2025-04-19 14:59:20,0,5,Google Play,GrubHub
This app has helped me get through a lot of my meals. I am very lucky to have this service available.,2025-04-19 13:53:06,0,5,Google Play,GrubHub
Not cool sending orders from another city makes no sense to driver or reciepent wont be using this app again I Dont Need Some upset driver at my door beacuse your app isnt smart enough to realize im trying to order food thats less than 10 min away not order food thats a hour drive away,2025-04-19 13:19:41,0,1,Google Play,GrubHub
intentionally broken? because I feel like this app was intentionally broken...,2025-04-19 11:20:30,0,1,Google Play,GrubHub
It's like the Duo Lingo of food. lmao,2025-04-19 11:06:55,0,5,Google Play,GrubHub
Why is it that none of your drivers speak english!,2025-04-19 10:09:50,0,1,Google Play,GrubHub
"Doesn't use Venmo properly, lags, disappointing.",2025-04-19 02:02:20,0,1,Google Play,GrubHub
"In the past few months, it seems that the quality of customer service AND drivers has declined. In my past several orders, I have had missing items, and it seems to be due to mistakes made by drivers, in that they aren't checking the receipt to make sure they have collected all the items in my order. Additionally, though I have added clear instructions, drivers frequently misplace my orders or provide photos that don't show an obvious location, meaning I have to search my entire building.",2025-04-18 23:49:06,0,2,Google Play,GrubHub
"This service can be horrible, so be aware. There's no guarantee that you're going to receive what you ordered and if there's a problem, they'll give you back your money, but good luck getting what you originally wanted.... they'll cancel your duplicate order when the wrong order is delivered. They don't care and they're NOT there to make things right. Watch out!!",2025-04-18 23:48:08,0,1,Google Play,GrubHub
My estimated time was late and my food arrived very cold.,2025-04-18 22:40:37,0,1,Google Play,GrubHub
offers 10$ off if you stay with Hilton hotel and does not give it. only removes their fees less than 10$. bate and switch ads,2025-04-18 20:50:51,0,1,Google Play,GrubHub
didn't get my entree. got a refund for entree price from restaurant . but was still charged full fees and delivery charges for a drink and an appetizer. I would not have agreed to paying that price for what I received. I am deleting and will no longer be using grub hub,2025-04-18 16:07:37,0,1,Google Play,GrubHub
fees are ridiculous too high.,2025-04-18 15:03:15,0,1,Google Play,GrubHub
terrible customer service. doordash is much better.,2025-04-18 13:09:14,0,1,Google Play,GrubHub
"GH uses anti consumer SEO to push down relevant searches. GH charges restaurants 20% per order, and then double dip you and charge you service fees too.",2025-04-18 11:47:57,0,1,Google Play,GrubHub
hate it it sucks,2025-04-18 10:37:57,0,1,Google Play,GrubHub
"Try to add a menu item to my bag, but get an error that I can't check out because I dont have enough items.",2025-04-17 21:17:30,0,1,Google Play,GrubHub
good food .keep up the good work,2025-04-17 20:42:38,0,5,Google Play,GrubHub
"Been using this for a while. Their drivers often don't check the receipt and will not deliver the entire order. This happens commonly with drinks, you being charged and the drink not being delivered, but sometimes happens with other items too. Also not as many drivers in my area for this app compared to other delivery apps. Sometimes GtubHub drivers will accept an order but not go to the store to pick it up for an hour. DoorDash or something else is almost always faster and easier.",2025-04-17 19:56:06,2,2,Google Play,GrubHub
You can't see your icon on your latest update,2025-04-17 19:54:02,0,2,Google Play,GrubHub
better with prime! good every once in a while.,2025-04-17 19:31:36,0,5,Google Play,GrubHub
double to triple what you would pay on Uber eats or doordash,2025-04-17 18:49:16,0,1,Google Play,GrubHub
