date,review,rating,isEdited,title,userName,developerResponse
2024-04-25 00:49:22,"I used Uber eats today along with my promo. My total came up to 2.48 and I tipped 1.00 which made my total 3.48. I used 1.33 in Uber cash and the rest was charged to my account. After this order my account says that I owe 1.00, after look at the receipt and my bank statement it shows everything was paid in full, i reached out to customer twice the first representative IAN was rude, he cut the chat short while I was still confused. I chatted with another representative who was nice but could not resolve the issue and transferred me to someone else. I’ve been using Uber for years and never had this problem. I’m disappointed because I am not being heard and this issue is not being resolved. I would suggest everyone to check their receipt and statement after each order in case you are over charged a 1.00 or anything. This is a hard time for me and I use Uber and Uber eats often and it saddens me that this is happening. It makes wonder how many other times have I been over charged.",3,False,Uber eats,ADNCTD,
2024-04-25 12:16:50,"This past time I submitted that both my drink and fries were missing from the order. I was missing 2/3 of my order. So I rated my order and submitted that I didn’t receive those things. About a week or two later still no reach out and no refund. So I went through the help center and explained a part of it. Well your service team responded said no refund and closed the ticket. No chance to write back and I can’t make any more claims about it and there’s no where else to contact any support. Your app support is absolutely terrible. Why can I not chat with someone real time? Why can I not call someone real time? So you know what, I canceled all of my Uber Apps because you guys essentially stole money from me when the drink is the drivers fault and the sweet potato fries is the restaurants fault. You really need to explain when you’re “rating” the order that that’s not how you’re supposed to go about getting a refund. In fact rating makes 0 difference and does absolutely nothing because if the guy had maybe looked into my account he would’ve seen that I did rate my order within 24 hours of the order arriving. I did it right then and there before I even ate the sandwich which was only 1/3 of my meal. So I won’t be going through Uber for anything anymore. I’m using Lyft for rides and other food delivery services from now on. You used to be my go to, I even worked with the company but you just stole money from me.",1,False,Worst Food Delivery App Ever,ohitsbubbles,
2024-04-28 14:27:47,"I ordered McDonald’s last night already scared I wasn’t going to get my order because the drivers kept bouncing back and forth as to who was to pick up my order. A driver finally picks up my order and I’m relieved because it’s been a long day and I just wanted to eat. I get the notifications the drive is outside and when I go out I see that he is literally driving past my house so I try and flag him down using my flashlight and he drives away faster knowing he obviously seen me. So I go out and try to meet him and he drives off even more, which leads me to running. He didn’t expect me to catch up to him so I knocked on the window, he sees me and drives off completely. I trying to talk to him to tell him I was meeting him to get my order and he drove off so fast I hurt myself trying to meet him and when I showed Customer service what happened they had no response. I am highly disappointed in this service. I could not get in contact with anyone to talk about what actually happened and I am still very hurt after last night’s incidents. I will be telling people in the future to not use this app or service because for me to get almost injured due to a driver basically stealing my food in my face and having no response from Uber Eats or even a agent from within the chat of my order shows there is little to no care for the customers using this app. I am beyond disappointed and to say my experience with this app is a disgrace is beyond that.",1,False,The service is awful and hurtful,ToriKing8854,
2024-05-04 16:13:09,"On multiple times I’ve received orders with missing food items or sometimes the restaurant will just cancel the order all together. On this last time May 2nd I ordered from PF Chang’s. 

The delivery driver arrived but I was dealing with the children so my wife picked up the order at the curb. I came down to the kitchen to find just one bag with a single appetizer and desert and a box of rice. We ordered 8 items total. Two entrees, other apps and sushi. The total was $130 and so I went to the app to get help. I had the option to reach out to the driver and he said that was all they gave him at the restaurant. He said my bad and he would report the missing items and I could do the same in the app. I did an didn’t receive a response. Usually they tell you right away we apologize for the mistake. Then I got a message that I wasn’t qualified for a refund. I reached out on the app chat and said to please review it. The agent who responded said sorry multiple attempts have been made so they can’t refund me. If you go to a restaurant and have a meal and the waiter only brings 2 of the 8 items you ordered then you only pay for what you ordered. What type of fraud is going on here? Uber eats should have their service license revoked in Puerto Rico.",1,False,Uber Eats in Puerto Rico is committing fraud,ibond,
2024-05-12 00:21:53,"Please don’t buy from Papa John in Gunston plaza on Richmond hwy, I went there for wings I asked for all flats , I was told it had to be half and half I got home and they were more legs, I called and spoke to the manager who was nasty from the start , he said his name was Tony, after talking to him that Friday night May 3rd 2024, he said oh ok we dropped the ball you can bring them back, I said I will be bringing them back tomorrow he said oh ok, my general manager will be there he will take care of you, when I got there Tony was there, he was so nasty again I will take them back but you want get a refund, in fact get out my store I asked for the general manager he told me he said was the general manager and get out he said who bring chicken back anyway. I owned the store and if you don’t leave I’m calling the police, I tried waiting for the police for 30 minutes or more. I am a 67 year old black woman only there to settle the issue we had the night before, I wrote corp. no response, I call in a complaint that night I was told I will get a response and in 48 hours, still no response. Its no reason a customer should have been treated the way I was treated. I wouldn’t excise any one to go their with such customer service.",1,False,papa John,Peach by,
2024-05-12 16:49:00,"I live in an area where there isn’t the infrastructure to support bicycle delivery. Generally, I pay for priority delivery and it’s not fair for that to be the case for bicycle delivery when it takes three times as long as by car. I live 15 mins by car from the establishment I ordered from but it took the cyclist 45-50 mins to PICK UP my order then an additional 45 mins to make it my house and my food had bumped with every bump they hit. I reached out to Uber eats about this and they claimed it was within the window and were apathetic. I didn’t complain the first time this happened but this is the second. There should be an option to refuse bike delivery. They should not charge you for priority delivery when it took three times as long as if someone had gotten it by car, nullifying the purpose. This is a horrible business model and it’s not like the delivery person gets extra compensation for it being priority- they do. I want a refund. I want an option to refuse bikes. I’m done with this company for the foreseeable future.",3,False,Poor customer service,annayoung04,
2024-05-13 01:45:38,"Giving 5 stars so it’s closer to the top. The restaurant accepted my order , without checking to see if they had gf product. I was told they could not make the product (milkshake) in any flavor. I just had oral surgery so I couldn’t have anything else from the restaurant. The order was canceled. Uber tried charging me $6.21 for a shake I couldn’t get, not even one I didn’t want, but one the restaurant was unable to provide for me. How does that make sense? They told me I needed to make sure the order was accurate before placing it next time. It was accurate. I ordered exactly what I wanted. The lady did on Uber did not want to help me. It was only after I got incredibly angry did she escalate it and finally get me a “one time” refund. It is a really sick and twisted policy that you think it’s ok to charge people for a service that they didn’t cancel voluntarily, but because the restaurant is unable to provide the product. I will not be using this platform in the future, it is much easier to get refunds for situations like this via DoorDash.",5,False,Bad service,queenb9728,
2024-05-23 08:45:27,"I’ve been an Uber one member for the longest time. Now all of a sudden you can’t get a refund on missing items. They want you to take a picture. Of what?! Air? The item is missing. “We’ve determined the delivery matched the order”. How? When the drivers can’t even check in the bags because everything is sealed for delivery. I order a chipotle salad, there was no lettuce. The rep is going to tell me “we’ve determined the delivery matched the order”. How?! When there’s no lettuce in the picture I sent you. Restaurants keep screwing up and Uber eats is making the customers pay for the mistakes. I’m going to have to stop using this app. It’s not worth it anymore.

I didn’t want a refund. There was still food. I ate it. I wanted to report that it wasn’t the right food. Restaurants are increasingly messing up orders by leaving things out or giving the wrong items and customers are having to  forfeit a refund because it does not “follow the community guidelines”. In what community is it okay to slight your customers for your own benefit?? Uber already marks up the prices on items and then charges fees (even with Uber one) and now we can’t even get refunds on incorrect orders. All about the money I guess.",2,False,Worst customer service suddenly,kwest86,
2024-05-24 23:48:12,"I’m probably giving this too harsh of a review because I’m mad, but today I got Uber eats from two different places (this is in Spain) but they were both in this mall. The Uber driver made it to our place earlier than the Uber eats app said they would, he only waited about five minutes, and when he called, I answered and I messaged him. My boyfriend then went down right away soon as I figured out he was waiting, which, as I said earlier was probably only five minutes, and then my boyfriend catches the Uber driver with our food and asks if it’s for him and the Uber driver just looks at him and says oh no and takes our food. He even took a picture of it and left a note saying he was leaving it at the door, but then did not and took all the food. I then contacted Uber to try and get a refund and I explained the whole situation and the amount of time and they still said we can’t do anything and you won’t get any refund. I just feel like that outcome is not fair because I did spend a lot of money on that food and I was in contact with the driver and he didn’t even wait that long. The food also came earlier than stated. This has not been the only problem, sometimes the food takes an outrageous amount of time to come even though it says it will be pretty quick, there are always missing or wrong items, and it is never easy to contact Uber. Will not be using this app thanks for stealing my money",1,False,Bad customer service,Sat¡,
2024-05-28 06:20:48,"You have about a 10-20% chance to have your order stolen by a delivery driver, and the clever ones just cancel your order after they take it from the restaurant so you can’t even rate them poorly or get any recourse. The customer service will let you wait for an hour or more before telling you they can finally cancel a stolen order, and at best you’ll get a refund, but not always. They’ve had many other issues related to deliveries and customer service has only ever been even remotely helpful with any issue one time. Most often they will make you repeat yourself many times with questions already asked, then make you wait for as long as thirty minutes or more, then just tell you they won’t do anything to help and call it a day. This app’s customer service sincerely appears to be in place only to annoy you until you’re exhausted and no longer willing to complain, so you will accept paying money on an order that never arrived, or paying for missing items, or items ruined/spilled by deliverers, or paying for priority delivery and not getting it, etc.",1,False,Horrible customer service and theft issues,Xenowarrior,
